subject,language,mean_dwell_time,n_transitions,flexibility,state_0_fraction,state_1_fraction,state_2_fraction,state_3_fraction,state_4_fraction
sub-EN057,English,4.2857878693432685,34.888888888888886,0.23614099221173962,0.13365364219204612,0.16043021289468984,0.29633281234866576,0.10192947639860737,0.3076538561659909
sub-EN058,English,5.229325790662461,28.333333333333332,0.19322861713211015,0.10031648303484647,0.09318463471145139,0.2518114165005162,0.15441733930833307,0.40027012644485294
sub-EN059,English,4.860234128962812,31.444444444444443,0.2146397742964202,0.2063752250764238,0.07774155039916421,0.2464557736157353,0.39771824749900375,0.07170920340967295
sub-EN061,English,5.415506984041467,27.88888888888889,0.1884591187291277,0.07470961212340238,0.2159057630733445,0.08973001967442187,0.07206805423636681,0.5475865508924644
sub-EN062,English,6.203834622293041,27.22222222222222,0.18471749310126617,0.10712886021576368,0.1564329927799006,0.2914811154657037,0.14920988605448257,0.2957471454841494
sub-EN063,English,4.979764289235472,31.0,0.2120729391874762,0.10138024444190069,0.23754907088639005,0.1757621401848423,0.07036700084505164,0.4149415436418153
sub-EN064,English,4.841520037462691,30.666666666666668,0.20888590079821162,0.47159273493767867,0.06840100428742116,0.17872816577906006,0.24207303024623217,0.039205064749608005
sub-EN065,English,4.7784394025443815,31.0,0.21043417308356294,0.08795652129080035,0.09609773733853572,0.23064745837511763,0.37560841032510706,0.20968987267043923
sub-EN067,English,4.950544055354302,29.22222222222222,0.197393438398519,0.4023863283908985,0.03496343632947967,0.13772672067070335,0.09601275826580923,0.3289107563431093
sub-EN068,English,5.171923137193841,28.444444444444443,0.1936752467172251,0.3739262755110245,0.02249754215552749,0.15510447314290413,0.20491869485899344,0.24355301433155047
sub-EN069,English,4.8286613749046134,31.333333333333332,0.21253191759834913,0.34690601839516666,0.10959403912371858,0.2651933794551158,0.036088283803827295,0.24221827922217168
sub-EN070,English,6.206664449921681,24.555555555555557,0.16646964834765404,0.13611131249859593,0.12046571788863512,0.08859234962946805,0.03335404746857557,0.6214765725147253
sub-EN072,English,5.968183584486044,30.22222222222222,0.20265657547405494,0.0806891959649543,0.2842665819390248,0.16334971726451408,0.03619253507465195,0.43550196975685496
sub-EN073,English,7.685013240263083,22.77777777777778,0.153502125049698,0.3146554001281738,0.056522207799108805,0.08525375223137549,0.49431778422457945,0.04925085561676241
